accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
Q84ZX5,132,0.75,99,attention_weights,0.7407407407407408,0.8931320319785686,0.8282828330993652
A0ABI7XLA3,134,0.6865671641791045,92,attention_weights,0.5817805383022775,0.7446137665242254,0.72826087474823
A0ABQ9K8B4,208,0.5480769230769231,114,attention_weights,0.5099850690556178,0.5273268389656856,0.5701754093170166
Q28133,172,0.48255813953488375,83,attention_weights,0.48829023961012596,0.458014969676916,0.45783132314682007
P27762,397,0.04030226700251889,16,attention_weights,0.3312007874015748,0.02951062643169897,0.0
P10496.1,465,0.03225806451612903,15,attention_weights,0.33377777777777784,0.023869284364838612,0.0
O65457,394,0.04060913705583756,16,attention_weights,0.49156746031746035,0.04071871356174335,0.0
A0A804JLZ5,407,0.03931203931203931,16,attention_weights,0.4237531969309463,0.03474298185436699,0.0
O24554,401,0.0399002493765586,16,attention_weights,0.6035714285714286,0.05697056538927241,0.0
Q9C5M8,408,0.0392156862745098,16,attention_weights,0.5076530612244898,0.039524750547889606,0.0
Q7M1E7,514,0.7490272373540856,385,attention_weights,0.35890466123024256,0.7204687385122412,0.6883116960525513
P43214,122,0.45081967213114754,55,attention_weights,0.514246947082768,0.5281563622031905,0.4545454680919647
Q17ST3,339,0.3215339233038348,109,attention_weights,0.3639010769844436,0.24812894981618683,0.20183485746383667
Q9M4S2,367,0.20435967302452315,75,attention_weights,0.418675799086758,0.17734547780973958,0.18666666746139526
Q6U740,146,0.273972602739726,40,attention_weights,0.35165094339622643,0.21135263096569307,0.125
Q9SCG9,367,0.14986376021798364,55,attention_weights,0.534032634032634,0.16862186859297784,0.16363635659217834
P54958,352,0.21306818181818182,75,attention_weights,0.46921780986762945,0.22528136648617364,0.23999999463558197
P10414,73,0.2054794520547945,15,attention_weights,0.4310344827586207,0.24954510388983575,0.13333334028720856
A0ABI7XHC5,214,0.2102803738317757,45,attention_weights,0.4771860618014464,0.1941178488542013,0.15555556118488312
A0PJ16,396,0.6893939393939394,273,attention_weights,0.33517972542362784,0.6017179872300626,0.6153846383094788
E1XUL4,397,0.6574307304785895,261,attention_weights,0.4094827586206896,0.6120769396267237,0.6206896305084229
P27760,398,0.2185929648241206,87,attention_weights,0.4565546808589275,0.20459682557990302,0.19540229439735413
K7AKA8,115,0.7130434782608696,82,attention_weights,0.4708056171470806,0.6839934722333836,0.707317054271698
K7AJH7,73,0.547945205479452,40,attention_weights,0.46590909090909094,0.5619928848873423,0.550000011920929
K7B086,246,0.26422764227642276,65,attention_weights,0.5466213344666383,0.2833934837843368,0.26153847575187683
K6Z6I9,434,0.1382488479262673,60,attention_weights,0.4017379679144385,0.1084077712165047,0.03333333507180214
K6Z6Z9,261,0.2988505747126437,78,attention_weights,0.45376208490962594,0.2894355181819681,0.24358974397182465
K7B0C2,442,0.16063348416289594,71,attention_weights,0.4311909190995027,0.13335992080227038,0.07042253762483597
K6Z6L7,94,0.1595744680851064,15,attention_weights,0.6481012658227848,0.2116818418617519,0.13333334028720856
K6ZXT8,114,0.5526315789473685,63,attention_weights,0.49610955493308434,0.5712046045119556,0.5396825671195984
K6ZXQ5,87,0.1724137931034483,15,attention_weights,0.26666666666666666,0.12211906508983356,0.06666667014360428
K7AKJ8,134,0.22388059701492538,30,attention_weights,0.39711538461538465,0.19102787238204064,0.13333334028720856
K6ZXS1,201,0.29850746268656714,60,attention_weights,0.3397163120567376,0.24844337977993147,0.20000000298023224
K7AJI4,83,0.3614457831325301,30,attention_weights,0.5647798742138365,0.41997419750494847,0.3333333432674408
K7B082,133,0.22556390977443608,30,attention_weights,0.28640776699029125,0.15941866732427915,0.10000000149011612
K6ZY00,287,0.17770034843205576,51,attention_weights,0.48130608175473577,0.1895230615222692,0.1568627506494522
K7AF06,68,0.22058823529411764,15,attention_weights,0.31949685534591193,0.16628026123262554,0.06666667014360428
K7AEU6,76,0.19736842105263158,15,attention_weights,0.25901639344262295,0.13762258121129867,0.0
K6Z6L1,264,0.056818181818181816,15,attention_weights,0.4497991967871486,0.05238562078654309,0.0
K7AEU1,437,0.034324942791762014,15,attention_weights,0.33807266982622436,0.026018117729651014,0.0
K7AET4,180,0.08333333333333333,15,attention_weights,0.40888888888888886,0.07029864221295132,0.0
Q9SEW4,593,0.43676222596964587,259,attention_weights,0.5742607449194275,0.5056874459541955,0.48262548446655273
P28744,392,0.12244897959183673,48,attention_weights,0.5887839147286822,0.15030895835792987,0.125
A0A140KPR8,264,0.2840909090909091,75,attention_weights,0.5514638447971781,0.320239381170017,0.3333333432674408
Q09KA1,317,0.2113564668769716,67,attention_weights,0.43462686567164177,0.20929810374515323,0.1492537260055542
A0A6P6YEX8,502,0.2290836653386454,115,attention_weights,0.5593528816986856,0.2929223282304212,0.27826085686683655
A0A6P6Y1G3,132,0.11363636363636363,15,attention_weights,0.4678062678062678,0.11577502736872995,0.13333334028720856
A0A6P6YDD5,536,0.11194029850746269,60,attention_weights,0.45990896358543415,0.13426669980016287,0.15000000596046448
A0A6P6YF71,188,0.2925531914893617,55,attention_weights,0.5300068352699933,0.3141234564864771,0.290909081697464
A5X5X4,155,0.1935483870967742,30,attention_weights,0.3816,0.15735982503999152,0.06666667014360428
A0A6P6Y415,156,0.09615384615384616,15,attention_weights,0.4855791962174941,0.09164675201553549,0.0
P00755,261,0.24904214559386972,65,attention_weights,0.4704081632653061,0.2621373252896121,0.2461538463830948
Q402I5,439,0.03416856492027335,15,attention_weights,0.6672955974842767,0.09316410496436399,0.13333334028720856
P51437,172,0.08139534883720931,14,attention_weights,0.25452079566003616,0.05524542494340803,0.0
O09043,419,0.057279236276849645,24,attention_weights,0.4337552742616033,0.05526064100660183,0.0
P03953,259,0.138996138996139,36,attention_weights,0.6467364225211759,0.21376327667334588,0.1666666716337204
A2AJD1,591,0.025380710659898477,15,attention_weights,0.7663194444444444,0.06601077049834826,0.06666667014360428
B1AVU4,173,0.26011560693641617,45,attention_weights,0.5725694444444445,0.3676152177655224,0.31111112236976624
P61110,121,0.2727272727272727,33,attention_weights,0.41735537190082644,0.2300149315210364,0.1515151560306549
Q91X17,642,0.05451713395638629,35,attention_weights,0.5769357495881384,0.06641650268034893,0.05714285746216774
P23492,289,0.05190311418685121,15,attention_weights,0.42700729927007297,0.04809714401361593,0.0
