accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
Q84ZX5,132,0.75,99,attention_weights,0.7254361799816345,0.8854846073298719,0.8282828330993652
A0ABI7XLA3,134,0.6865671641791045,92,attention_weights,0.5659937888198757,0.7380972859213726,0.72826087474823
A0ABQ9K8B4,208,0.5480769230769231,114,attention_weights,0.49869354236655467,0.5195598102761643,0.5526315569877625
Q28133,172,0.48255813953488375,83,attention_weights,0.48517666170299173,0.4625031946445059,0.46987950801849365
P27762,397,0.04030226700251889,16,attention_weights,0.35170603674540685,0.030528230523749502,0.0
P10496.1,465,0.03225806451612903,15,attention_weights,0.3454814814814815,0.0241722233683721,0.0
O65457,394,0.04060913705583756,16,attention_weights,0.5143849206349206,0.044274601244360695,0.0
A0A804JLZ5,407,0.03931203931203931,16,attention_weights,0.4445332480818414,0.03711255556945722,0.0
O24554,401,0.0399002493765586,16,attention_weights,0.6375000000000001,0.06571705717599638,0.0625
Q9C5M8,408,0.0392156862745098,16,attention_weights,0.5420918367346939,0.043285440605869134,0.0
Q7M1E7,514,0.7490272373540856,385,attention_weights,0.38600624182019533,0.7337931459164562,0.6935064792633057
P43214,122,0.45081967213114754,55,attention_weights,0.5324287652645862,0.532661860984293,0.4909090995788574
Q17ST3,339,0.3215339233038348,109,attention_weights,0.3641802951735142,0.24808058314297998,0.19266055524349213
Q9M4S2,367,0.20435967302452315,75,attention_weights,0.4271689497716895,0.1812680648211073,0.1733333319425583
Q6U740,146,0.273972602739726,40,attention_weights,0.3483490566037736,0.21097547381604567,0.15000000596046448
Q9SCG9,367,0.14986376021798364,55,attention_weights,0.5347319347319347,0.1687688435573258,0.145454540848732
P54958,352,0.21306818181818182,75,attention_weights,0.4602166064981949,0.2194464568012154,0.2133333384990692
P10414,73,0.2054794520547945,15,attention_weights,0.503448275862069,0.27343580709687604,0.20000000298023224
A0ABI7XHC5,214,0.2102803738317757,45,attention_weights,0.49230769230769234,0.2021976267315871,0.20000000298023224
A0PJ16,396,0.6893939393939394,273,attention_weights,0.3463176390005659,0.6113226639313782,0.6153846383094788
E1XUL4,397,0.6574307304785895,261,attention_weights,0.41894861392832994,0.6161759283167922,0.6130267977714539
P27760,398,0.2185929648241206,87,attention_weights,0.4685663599068633,0.21339528221908438,0.2068965584039688
K7AKA8,115,0.7130434782608696,82,attention_weights,0.4519586104951958,0.6757025892843362,0.707317054271698
K7AJH7,73,0.547945205479452,40,attention_weights,0.4636363636363636,0.5626466860911471,0.5249999761581421
K7B086,246,0.26422764227642276,65,attention_weights,0.5481512962175946,0.280358538074268,0.26153847575187683
K6Z6I9,434,0.1382488479262673,60,attention_weights,0.4047682709447415,0.10900016127995604,0.01666666753590107
K6Z6Z9,261,0.2988505747126437,78,attention_weights,0.451310074260894,0.2831318335955986,0.26923078298568726
K7B0C2,442,0.16063348416289594,71,attention_weights,0.43221593713222733,0.13373479508969965,0.07042253762483597
K6Z6L7,94,0.1595744680851064,15,attention_weights,0.6185654008438819,0.19937923278189093,0.13333334028720856
K6ZXT8,114,0.5526315789473685,63,attention_weights,0.4864612511671335,0.5662300658851915,0.523809552192688
K6ZXQ5,87,0.1724137931034483,15,attention_weights,0.2490740740740741,0.11836048694741608,0.0
K7AKJ8,134,0.22388059701492538,30,attention_weights,0.396474358974359,0.19000901053492159,0.13333334028720856
K6ZXS1,201,0.29850746268656714,60,attention_weights,0.3325059101654847,0.24633133041028799,0.18333333730697632
K7AJI4,83,0.3614457831325301,30,attention_weights,0.5515723270440251,0.40353836769974816,0.36666667461395264
K7B082,133,0.22556390977443608,30,attention_weights,0.2909385113268608,0.15969547381337237,0.10000000149011612
K6ZY00,287,0.17770034843205576,51,attention_weights,0.464440013293453,0.17885484905752988,0.1568627506494522
K7AF06,68,0.22058823529411764,15,attention_weights,0.319496855345912,0.16659099395716728,0.0
K7AEU6,76,0.19736842105263158,15,attention_weights,0.23278688524590163,0.1335173681858878,0.0
K6Z6L1,264,0.056818181818181816,15,attention_weights,0.4315930388219545,0.05194515442982426,0.06666667014360428
K7AEU1,437,0.034324942791762014,15,attention_weights,0.3314375987361769,0.025652287306807173,0.0
K7AET4,180,0.08333333333333333,15,attention_weights,0.39636363636363636,0.06921707227208629,0.0
Q9SEW4,593,0.43676222596964587,259,attention_weights,0.5962707789055094,0.5151192210919655,0.5096524953842163
